Name,Address,Lat,Long,Status,Status_Simple,Owner,Owner Type,Operator,Developer,Capacity MW electricity,Capacity MW gas,Capacity MW heat,Tonnes of waste pa,Typology Of Technology,Simple Renewable Technology  Type,Technology Provider,Potential Carbon Reduction (tonnes),Calculated Carbon Reduction (Tonnes per year),Conditions For Deployment,Timetable,Other Associated Infrastructure,Scale,Cost Of Deployment,Readiness Of Technology,Source of information,Date found,Found by
Tesco Birmingham Springhill Brookfield 6227,"Camden St, Hockley, B18 7BH",52.485351,-1.919773,Operational,Operating,,Commercial,,,0.122,,0.08,,reciprocating engine - CHP,Combined heat and power,,,328,,,,"Electrical Generation Capacity (KWe) 122
Predicted Annual Heat Generation (MWh) 705 ",,,,15/10/18,Jodie Schram
Tesco Yardley 6463,"Swan Shopping Centre, Coventry Rd, Birmingham, B26 1AD",52.462223,-1.813572,Operational ,Operating,,Commercial,,,0.124,,0.08,,reciprocating engine - CHP,Combined heat and power,,,334,,,,"Electrical Generation Capacity (kWe) 124 
Predicted Annual Heat Generation (MWh) 717",,,,15/10/18,Jodie Schram
Birmingham Heartlands Hospital ,"Bordesley Green E, Birmingham B9 5SS",52.478728,-1.8299,Operational ,Operating,NHS,NHS,,,1.165,,0.7689497717,,Gas Engine - CHP,Combined heat and power,,,3135,,,,"Electrical Generation Capacity (kWe) 1,165
Predited Annual Heat Generation (MWh) 6,736",,,,15/10/18,Jodie Schram
Birmingham Life Sciences Park,"Former Birmingham Battery Site Land between Bristol Road, Harborne Lane and Aston Webb Boulevard Selly Oak Birmingham",52.444367,-1.939696,Outline planning granted 2013/02178/PA,Planned,University of Birmingham,Private,GVA,To be confirmed,,,,,,Potential development opportunity,,,0,Finding a development partner. Yet to be  built.,"Following selection of a development partner, the Life Sciences Campus will undergo a phased delivery with a target for commencement of works in January 2020.",,54 000 sq m (580 000 sq ft) facilities,,,https://www.birmingham.ac.uk/news/latest/2018/10/birmingham-life-sciences-park-partner-GVA.aspx and https://eplanning.birmingham.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?TYPE=PL/PlanningPK.xml&PARAM0=587345&XSLT=/Northgate/PlanningExplorer/SiteFiles/Skins/Birmingham/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&DAURI=PLANNING,31/10/18,Becki Clark
Birmingham Smithfield Enterprise Zone,Birmingham Smithfield,52.474326,-1.892427,Approved Planning Policy.,Potential,Birmingham City Council ?,Council,,,,,,,,Potential development opportunity,,,0,Part of planning policy and masterplan created. Needs investment and developers.,,,"14 to 17 hectares to be regenerated - leisure, entertainment, 2,000 homes, public square, spaces.",,,http://www.birmingham-smithfield.co.uk/,31/10/18,Becki Clark
Southern Gateway,Birmingham Smithfield,52.475541,-1.891879,Part of Smithfield masterplan but no details,Potential,Birmingham City Council ?,Council,,,,,,,,Potential development opportunity,,,0,Part of masterplan for Smithfield,,Birmingham Smithfield,"61 hectares to be regenerated, residential and 5,000 homes",,,http://www.birmingham-smithfield.co.uk/the-location/,31/10/18,Becki Clark
East Birmingham and North Solihull Regeneration Zone,North Solihull,52.495339,-1.741785,Defined zone in planning guidance and the Regional Economic Strategy,Potential,Birmingham City Council ?,Council,,"A new regeneration company will be set up comprising Solihull Metropolitan Borough Council, InPartnership Ltd, Bellway Homes Ltd and Whitefriars Housing in early 2005. Plans are currently being developed based upon the Strategic Framework.",,,,,,Potential development opportunity,,,0,"A sustainable future for North Solihull will be dependent on its integration with the wider area. Success will grow from local strengths and a targeted regeneration strategy to improve the quality and range of residential accommodation, healthcare, education and other services and the general quality of the environment and infrastructure provision. ",Regeneration timetable will take 15 years +,HS2,,,,http://www.northsolihull.co.uk/wp-content/uploads/2015/05/North-Solihull-Strategic-Framework-Document.pdf,31/10/18,Becki Clark
Aggregate PV Domestic and Commercial,B1,52.4795,-1.90764,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.01998,,,,Photovoltaics,Photovoltaics,,,54,,,,,,,,,
Aggregate PV Domestic and Commercial,B10,52.4701,-1.85329,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.09848,,,,Photovoltaics,Photovoltaics,,,265,,,,,,,,,
Aggregate PV Domestic and Commercial,B11,52.4554,-1.85995,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.29707,,,,Photovoltaics,Photovoltaics,,,799,,,,,,,,,
Aggregate PV Domestic and Commercial,B12,52.4609,-1.88253,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.1268,,,,Photovoltaics,Photovoltaics,,,341,,,,,,,,,
Aggregate PV Domestic and Commercial,B13,52.4352,-1.88246,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.29075,,,,Photovoltaics,Photovoltaics,,,782,,,,,,,,,
Aggregate PV Domestic and Commercial,B14,52.4188,-1.89026,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.37586,,,,Photovoltaics,Photovoltaics,,,1011,,,,,,,,,
Aggregate PV Domestic and Commercial,B15,52.4679,-1.92354,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.18263,,,,Photovoltaics,Photovoltaics,,,491,,,,,,,,,
Aggregate PV Domestic and Commercial,B16,52.4755,-1.93248,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.10136,,,,Photovoltaics,Photovoltaics,,,273,,,,,,,,,
Aggregate PV Domestic and Commercial,B17,52.4615,-1.96295,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.12158,,,,Photovoltaics,Photovoltaics,,,327,,,,,,,,,
Aggregate PV Domestic and Commercial,B18,52.4915,-1.92273,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.20061,,,,Photovoltaics,Photovoltaics,,,540,,,,,,,,,
Aggregate PV Domestic and Commercial,B19,52.4963,-1.90616,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.04528,,,,Photovoltaics,Photovoltaics,,,122,,,,,,,,,
Aggregate PV Domestic and Commercial,B20,52.5134,-1.91886,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.16267,,,,Photovoltaics,Photovoltaics,,,438,,,,,,,,,
Aggregate PV Domestic and Commercial,B21,52.5051,-1.93640,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.14792,,,,Photovoltaics,Photovoltaics,,,398,,,,,,,,,
Aggregate PV Domestic and Commercial,B23,52.5277,-1.85183,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.50776,,,,Photovoltaics,Photovoltaics,,,1366,,,,,,,,,
Aggregate PV Domestic and Commercial,B24,52.5196,-1.82890,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.20755,,,,Photovoltaics,Photovoltaics,,,559,,,,,,,,,
Aggregate PV Domestic and Commercial,B25,52.4618,-1.82584,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.18925,,,,Photovoltaics,Photovoltaics,,,509,,,,,,,,,
